[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 1. 1. 0. 0.],19.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 2. 0. 0. 0.],0.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 1. 1. 0. 0.],14.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 2. 1. 0. 0.],0.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 2. 1. 0. 0.],0.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 0. 0. 0.],453.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 0. 0. 0.],3.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 0. 0. 0.],184.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 1. 0. 0.],29.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 0. 0. 1.],170.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 0. 0. 0.],44.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 1. 0. 0.],88.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 0. 0. 1.],10.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 1. 0. 0.],1167.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 0. 0. 1.],422.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 1. 0. 1.],42.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 0. 0. 2.],45.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 1. 0. 0.],2081.0
