Average Reward,Percentage of correct action
2.64962762536526,0.12214
5.093236903492512,0.99712
0.8646311840630815,0.41089
3.688123647713185,0.99812
3.2931175192142783,0.99863
1.823358261951226,0.98216
4.262230921473039,0.99962
2.3694156401992332,0.99953
4.597851228325974,0.46898
3.0768135782958517,0.99891
4.652779991058603,0.99188
3.664607688528234,0.60709
1.3201069505664873,0.01414
3.7093888227710465,0.99953
2.49525146137489,0.08761
1.9470364974361556,0.9746
3.3082847821306163,0.99795
2.5503057714795614,0.99685
5.34704546567468,0.99884
2.2667071873210407,0.88155
3.95234668699574,0.96092
2.0176238663113266,0.99052
3.8412642233899246,0.98592
2.6911111497709665,0.92901
3.821960674284467,0.98945
4.888910396428302,0.99835
2.4210067436332667,0.99123
3.209966935805293,0.36439
3.6782122647461244,0.99948
3.5899940231386642,0.99708
4.893426562082517,0.98935
5.500897475183888,0.9987
3.8631379544832383,0.99972
2.3197779531325304,0.9891
2.333301100821543,0.94694
3.1124528647252783,0.94305
3.9473613007680983,0.99966
2.6796345100726313,0.99505
4.702031012631128,0.99975
3.77929327081861,0.97557
2.452161388115789,0.67613
4.423877979891974,0.9998
3.6503396387370253,0.99905
3.3457744338186406,0.07664
2.8270240605609955,0.99707
3.490649951921297,0.99656
2.918367340834061,0.99845
2.304587954821457,0.20346
1.8607359267965826,0.14491
2.0652327970879916,0.99895
0.16696202380687594,0.69544
4.2372396376439765,0.99676
1.5205298969797802,0.9961
3.5564898921580204,0.99867
3.5475413370249154,0.03315
2.3177736839558896,0.65908
1.313515924604539,0.97683
0.914470573846444,0.04556
3.267899799959062,0.99409
2.9371827048828303,0.99847
3.8264127149770584,0.99811
0.7866947710218938,0.01268
4.349159602997902,0.99951
4.609991190470636,0.99938
0.9359708151678137,0.93359
3.795438730749246,0.86624
2.1103979276646783,0.98011
4.852889372025754,0.99919
2.1900280265127487,0.94092
2.8780074368471866,0.99304
4.419633161690884,0.99942
4.209906668318459,0.99959
2.134602404286014,0.00632
1.4599753221784555,0.99277
2.7699126459074996,0.99675
3.8178117535762714,0.99951
2.357230257822198,0.06095
2.5827589244523503,0.99781
2.8508281415841092,0.86773
2.311059575105939,0.99524
1.3239733103666234,0.16827
5.678941333913871,0.99939
1.3284251963423546,0.82199
2.891652235482906,0.99849
3.5041817044883024,0.66091
2.259741703848891,0.95264
2.2374137915937165,0.99865
2.0321518962584206,0.94711
1.154553970127223,0.89618
3.6420405242018594,0.95804
4.305494977595756,0.9994
2.933192325930065,0.9177
3.2188914877094787,0.91862
1.9141092950333034,0.54138
2.280990991624553,0.9933
2.8413694561901335,0.15104
2.392885705434615,0.03408
1.686234134528098,0.92063
3.6025994449820877,0.00317
3.0089791844819835,0.99662
2.736418227208243,0.77984
3.7581255450679407,0.99745
1.4505778624096082,0.79274
2.9145223860896583,0.90528
3.211705479801855,0.99654
4.263824141373404,0.99923
2.471455127992231,0.9985
3.031715071672454,0.9988
4.7262567166765415,0.99731
3.559138275969882,0.1275
2.935627773893092,0.30862
3.390299184204596,0.97821
1.6900721951380857,0.86403
2.531363970138743,0.81915
1.5710396648976321,0.61926
4.048810883409951,0.65731
2.487282411631988,0.89472
0.9385986580359879,0.96375
2.7528005606275396,0.93294
3.8224238269445965,0.9994
2.117910858709773,0.97506
0.2578493389296885,0.00289
1.9712717554671602,0.97773
4.067579628892651,0.99462
2.653930004365183,0.99278
1.6937080721026245,0.65085
1.5014771072918165,0.9993
3.3740499701636044,0.00334
1.2909582285842296,0.21553
3.6188880100628653,0.9929
2.9710225894063154,0.99372
3.7206806156123196,0.99858
3.6915519470634806,0.98321
1.776323507903433,0.98735
2.262263802167944,0.9952
3.6553898894613894,0.95744
5.291827535036701,0.99957
2.7269581286655167,0.98145
2.627471133090479,0.94635
2.173205731710587,0.78461
0.8906910471716539,0.88053
3.804984244078793,0.92135
2.551563682603625,0.9922
1.3455439949155834,0.05761
1.7567614632707027,0.82286
4.731183609110593,0.99939
3.1688682849206002,0.9993
2.7307164982032264,0.99914
2.083117800485454,0.9779
2.830083433411599,0.99836
1.5841359229432241,0.99822
2.7498496627417164,0.65355
2.2940909806244134,0.868
2.9832049195996073,0.99797
3.446828727122982,0.0273
3.0933940284026873,0.86221
3.2538363780962296,0.99952
1.6712660183903907,0.94002
4.188681280676366,0.99882
4.22227433861698,0.99368
3.1371233948799206,0.99772
5.62730521209743,0.99452
3.1088871937640357,0.00664
3.73281478279627,0.99935
4.3883439628959175,0.99857
2.438541974947387,0.99758
2.4445535773831537,0.99187
3.1180223677627783,0.73413
2.1210542209653016,0.98523
1.434895002091644,0.91109
1.1674489213019523,0.45092
1.0557126392089062,0.51839
3.120808888008129,0.99734
4.893010310735176,0.99754
2.746749793996224,0.91347
3.504909290481781,0.73311
3.9989131218297502,0.9923
4.071649314745886,0.80762
3.9209650041007804,0.8858
1.6318887883119937,0.00647
1.9403113807068788,0.99655
0.9334975496069925,0.98921
1.891237962767372,0.54084
5.518903596261472,0.99947
3.943795674662283,0.8981
3.8913418621776965,0.99815
0.9274728247154451,0.99146
2.7200678967386342,0.66499
5.433603937135717,0.99691
4.107468198072783,0.89559
5.751143322674477,0.99973
3.7306837802049753,0.99894
2.819366687355685,0.99731
0.23209215514368883,0.72979
3.654750832006002,0.9949
6.957485375643278,0.99931
1.9589380356557342,0.85656
0.8561169222712531,0.9742
2.609047477809817,0.89513
4.935552411290643,0.99003
3.2993953912421734,0.99803
5.094822519223554,0.99904
2.130016057648447,0.0239
2.4524973991221257,0.94631
2.099829496559389,0.97911
3.29828716409616,0.99495
2.896928665860372,0.73402
1.5861832482835798,0.99799
1.8684590675329225,0.89013
2.22653889119929,0.94067
2.018603878980619,0.98708
4.746230359381555,0.99971
2.9213541464143318,0.99949
0.8005236792731243,0.50638
3.6577951063006977,0.99332
2.9787338351048844,0.97901
3.5475938136930902,0.99864
2.4101690753597933,0.85
3.9833014440337853,0.98112
4.385651520912647,0.99949
2.44500686038622,0.79552
2.4174455633646903,0.9774
2.6705191432624766,0.99846
4.575267101635332,0.99911
2.4781627563253585,0.97639
3.43075536719734,0.97868
4.448892568017881,0.99973
3.600430825366838,0.99954
2.8541402466666113,0.25235
3.4544438409095695,0.9985
2.5964196830418595,0.1582
4.278872814750228,0.99904
3.368612809479406,0.99865
3.97767507572747,0.85711
1.7394510827340817,0.98403
4.259686575195149,0.99914
1.419895863768198,0.95206
1.858908800285908,0.97256
3.918061322723314,0.99361
3.5309730841011366,0.98441
4.4067288511299045,0.87084
1.678183238919859,0.95269
2.9022976311550837,0.99763
4.620041248462941,0.98945
5.8921023939654615,0.99974
4.019524017300831,0.99966
5.888895065173617,0.99935
2.5305462841903794,0.88609
3.4987614594067185,0.96146
6.281024025155741,0.9992
6.446968680211516,0.99538
2.073860050898373,0.9321
0.12127580890893865,0.10393
2.190233120717529,0.76656
3.042551290683593,0.99891
2.1517641666130376,0.98155
0.925559033235395,0.9852
3.293601098712255,0.99202
3.2414191075578587,0.99979
2.5547710076512087,0.02361
2.561013967412901,0.99933
4.279233425294924,0.7063
3.4779508379964437,0.99676
3.286934299577036,0.99885
3.105634963629836,0.00926
4.352960453680891,0.83113
1.2126130791405587,0.43009
3.456335828076355,0.99934
2.814245592602732,0.97884
2.517695101224943,0.06213
2.4357157635635724,0.88622
1.9055660469877371,0.99869
1.300295819508496,0.25676
3.5152071092495873,0.99567
1.9470838512561612,0.94425
1.413761779170859,0.92846
2.3852907571024393,0.9946
3.7062277717053087,0.99756
3.407267578261527,0.76301
1.6273681646426879,0.85499
2.925173347980163,0.95246
1.8434242558003535,0.99779
2.985205127063671,0.99409
3.783610121151402,0.06377
3.009516677356544,0.98209
2.190041046045777,0.99936
2.907697223985496,0.99125
2.307451529942416,0.98889
3.4485464555528513,0.13572
1.7367236830665138,0.94395
4.640327881082068,0.99975
0.7809383597222777,0.53282
2.4536267422211613,0.98813
3.5231334343537535,0.99803
1.5323656739924176,0.99265
4.110909593309652,0.99968
3.354233066236594,0.81785
5.163498445046818,0.99985
1.5173006162735372,0.99532
4.155398872217964,0.9879
2.7965777283747233,0.99855
1.46882434364819,0.72328
4.381297231408374,0.9894
1.654237211405602,0.52637
2.8541212068664272,0.99733
4.283966459871844,0.99923
3.2534001944285653,0.99572
2.434017544934466,0.98466
3.827763157667745,0.99893
4.692074746054346,0.99956
4.845237577375558,0.99811
2.6596316572777816,0.99786
0.5321947093807116,0.98336
4.099354762440232,0.96459
4.660752118278509,0.99969
2.2519131942572184,0.00378
1.838004371631416,0.99767
5.784740725132548,0.99965
1.4380252359299877,0.8824
3.0889849893647012,0.00104
4.44385846171045,0.96204
1.7639967706940558,0.97988
3.504023325050088,0.99924
3.1667759481736595,0.99595
3.1532466849965934,0.99896
1.427200773593057,0.99626
3.3566604137881733,0.99953
2.037731280868143,0.99887
3.3852375721625436,0.98771
2.2255701865862907,0.92801
3.711135237631232,0.99877
2.6971349071355486,0.76807
3.854689055195917,0.9955
1.5755974870330627,0.0135
2.1063336464561595,0.01242
3.605282545293033,0.99216
3.576372900827995,0.77528
3.43187841932492,0.94203
3.410503920642843,0.06264
3.759610160870688,0.99942
3.4971736695233866,0.99961
1.8469397925547257,0.98721
3.0580039099318794,0.97015
2.9692190063783315,0.81642
3.483088475728296,0.99552
2.4561700073278248,0.00071
4.810214868843995,0.89918
1.6907269790829422,0.60676
4.439626115641164,0.99763
4.043631461654444,0.99948
2.876263950374388,0.99822
2.507489381590912,0.94266
1.8153480509868334,0.97833
3.295062789887794,0.99873
2.4906158488602883,0.99138
2.593481941058571,0.99893
3.869260511008519,0.99931
1.8818213270031705,0.99171
4.559217527888649,0.96395
2.7808047243720786,0.99603
1.9675269607570194,0.01933
4.925545158147121,0.99823
0.8791040294817305,0.77011
5.677862474851086,0.9994
3.4658065965297764,0.99898
4.90515474333357,0.99966
6.054809718210414,0.99974
2.250567933939318,0.00448
2.608903269324257,0.33541
2.6625168162690707,0.99889
2.089216952726399,0.9989
2.4513988919117975,0.99301
3.537153771249135,0.97526
2.2542451998540662,0.00089
4.209060410432812,0.99569
2.3300806934724,0.9913
3.281730006596345,0.99111
2.49091442557248,0.99142
3.0002240656874823,0.0529
3.5961751124482513,0.9984
2.784434441013308,0.99705
3.917751833307039,0.99982
2.788456740041377,0.99833
5.954631097713335,0.99707
2.4312447581259162,0.80198
2.771784410821339,0.53306
6.079104762630941,0.96371
3.5088584288741242,0.99246
2.6835867064035517,0.01025
3.0420848643531326,0.79804
2.181204538040721,0.99121
4.283318250671531,0.81067
0.7331266515367874,0.93319
1.4423476624029388,0.96038
4.344741691321264,0.99351
4.1248090352384,0.99964
4.256906467238749,0.99972
2.8832740756143345,0.99893
5.030840973158607,0.96885
4.556062248339727,0.99651
2.9540956650294965,0.99946
1.661121685826214,0.98906
1.167325566716693,0.99298
4.037496385846334,0.87146
4.774559593266326,0.99967
2.0201620672323886,0.99925
4.310348917625415,0.99901
3.2199781268272405,0.99194
2.9644198381429208,0.84005
2.224350059021707,0.98845
5.39848992275462,0.99459
3.112858872646674,0.51418
4.628709573168762,0.99965
1.8852705062813646,0.99569
2.6354134274011276,0.85954
4.152400038953691,0.99279
2.6984942132463927,0.99976
2.177218981250308,0.96337
1.764907267194503,0.98903
2.968469077198662,0.9996
